Start_Date,End_Date,Start_Frequency,End_Frequency,Flare_Location,Flare_Region,Importance,CME_Date,CPA,width,isHalo,WidthLimit
2000-11-09 16:15:00,2000-11-11 04:00:00,10000,40,S11E10,9221,M1.0,,,----,True,
2002-03-18 02:55:00,2002-03-18 05:35:00,14000,1000,S10W30,9873,M1.0,2002-03-18 02:54:00,,360,True,
2002-07-07 11:35:00,2002-07-07 20:00:00,14000,200,S19W90,10017,M1.0,2002-07-07 11:30:00,277.0,>228,False,228.0
2005-06-03 12:50:00,2005-06-03 15:00:00,10000,270,N15E90,10775,M1.0,2005-06-03 12:32:00,,360,True,
2005-08-01 14:15:00,2005-08-01 14:50:00,14000,4500,N13E32,10792,M1.0,2005-08-01 14:30:00,83.0,93,False,
2010-08-07 18:35:00,2010-08-07 19:50:00,14000,700,N11E34,11093,M1.0,2010-08-07 18:36:00,,360,True,
2014-12-21 12:05:00,2014-12-21 12:28:00,14000,7400,S14W25,12241,M1.0,2014-12-21 12:12:00,,360,True,
2012-07-17 14:40:00,2012-07-18 05:00:00,12000,150,S28W65,11520,C9.9,2012-07-17 13:48:00,255.0,176,False,
2000-04-04 15:45:00,2000-04-04 16:00:00,14000,9000,N16W66,8933,C9.7,2000-04-04 16:32:00,,360,True,
2002-05-22 00:00:00,2002-05-22 00:30:00,14000,8000,S25W64,9948,C9.7,2002-05-22 00:06:00,230.0,186,False,
2002-04-14 07:50:00,2002-04-14 08:10:00,14000,8000,N19W57,9893,C9.6,2002-04-14 07:50:00,323.0,76,False,
2004-04-11 04:20:00,2004-04-11 05:35:00,14000,500,S14W47,10588,C9.6,2004-04-11 04:30:00,203.0,314,False,
2001-09-27 08:15:00,2001-09-28 07:00:00,4000,80,S15W40,EP,C9.5,2001-09-27 08:06:00,224.0,138,False,
2013-10-27 18:12:00,2013-10-27 18:36:00,14000,1700,N06W70,11875,C9.1,2013-10-27 18:12:00,308.0,189,False,
1998-04-24 09:17:00,1998-04-24 09:25:00,4700,2600,S20E90,8210,C8.9,1998-04-24 08:55:00,100.0,84,False,
2001-09-16 13:50:00,2001-09-16 14:10:00,3000,2000,S13E15,9616,C8.9,2001-09-16 14:30:00,131.0,68,False,
1999-06-11 11:45:00,1999-06-11 17:00:00,14000,400,N38E90,-----,C8.8,1999-06-11 11:26:00,35.0,>181,False,181.0
2006-11-06 17:45:00,2006-11-06 19:25:00,4000,300,E90b,-----,C8.8,2006-11-06 17:54:00,,360,True,
2011-05-29 21:10:00,2011-05-30 13:40:00,16000,90,S19E72,11227,C8.7,2011-05-29 21:24:00,107.0,186,False,
1997-11-03 05:15:00,1997-11-03 12:00:00,14000,250,S20W13,8100,C8.6,1997-11-03 05:28:00,240.0,109,False,
2005-05-06 17:52:00,2005-05-06 18:03:00,5000,4000,S09E29,10758,C8.5,2005-05-06 17:28:00,,360,True,
2004-07-31 07:10:00,2004-07-31 11:30:00,1000,200,N05W89,10652,C8.4,2004-07-31 05:54:00,259.0,>197,False,197.0
2007-12-31 01:05:00,2007-12-31 01:22:00,16000,6000,S08E81,10980,C8.3,2007-12-31 01:31:00,92.0,164,False,
2013-08-30 02:34:00,2013-08-31 04:00:00,14000,50,N15E46,11836,C8.3,2013-08-30 02:48:00,,360,True,
2014-04-04 14:02:00,2014-04-04 14:07:00,14000,11000,N13E26,12027,C8.3,2014-04-04 14:12:00,54.0,96,False,
2012-08-31 20:00:00,2012-08-31 23:45:00,16000,400,S25E59,11563,C8.1,2012-08-31 20:00:00,,360,True,
2005-05-02 22:40:00,2005-05-02 23:00:00,14000,5500,S05E90,10758,C8.0,2005-05-02 22:26:00,105.0,148,False,
2000-11-23 21:00:00,2000-11-23 21:06:00,3500,3000,S20E60,9239,C7.9,2000-11-23 21:30:00,124.0,148,False,
2000-05-15 16:47:00,2000-05-16 14:00:00,4800,40,S24W67,8993,C7.8,2000-05-15 16:26:00,257.0,>165,False,165.0
2011-06-21 03:07:00,2011-06-21 03:21:00,10000,7000,N16W08,11236,C7.7,2011-06-21 03:16:00,,360,True,
1999-07-05 03:10:00,1999-07-05 04:05:00,2000,1000,SW90b,8603,C7.6,1999-07-05 02:54:00,284.0,190,False,
1998-05-27 13:30:00,1998-05-27 14:20:00,4000,1000,N19W62,8226,C7.5,1998-05-27 13:45:00,175.0,268,False,
2004-04-08 10:25:00,2004-04-08 12:50:00,3000,500,S15W11,10588,C7.4,2004-04-08 10:30:00,,360,True,
2000-02-10 01:55:00,2000-02-10 02:00:00,14000,8000,N31E04,8858,C7.3,2000-02-10 02:30:00,,360,True,
2001-03-27 02:35:00,2001-03-27 03:15:00,6000,1000,N14E17,9393,C7.3,2001-03-27 02:06:00,154.0,60,False,
2005-01-04 11:20:00,2005-01-04 11:35:00,13000,6000,N05W11,10715,C7.3,,,----,True,
2003-12-02 11:00:00,2003-12-02 12:00:00,14000,9000,S14W70,10508,C7.2,2003-12-02 10:50:00,261.0,>150,False,150.0
1997-04-07 14:30:00,1997-04-07 17:30:00,11000,1000,S28E19,8027,C6.8,1997-04-07 14:27:00,,360,True,
2013-07-04 20:57:00,2013-07-04 21:27:00,11000,2900,S14E62,11787,C6.8,2013-07-04 20:12:00,111.0,188,False,
2015-12-16 08:45:00,2015-12-16 08:57:00,5300,3800,S13W04,12468,C6.6,2015-12-16 09:36:00,,360,True,
2001-02-11 01:40:00,2001-02-11 01:55:00,12000,5500,N24W57,9346,C6.5,2001-02-11 01:31:00,,360,True,
2013-04-18 18:00:00,2013-04-18 19:10:00,16000,4000,N11W83,11719,C6.5,2013-04-18 18:24:00,284.0,199,False,
2007-01-25 06:55:00,2007-01-25 23:30:00,14000,90,S08E90,10940,C6.3,2007-01-25 06:54:00,,360,True,
1998-11-08 11:20:00,1998-11-08 11:30:00,10000,8000,S21W37,-----,C5.9,1998-11-08 11:54:00,264.0,196,False,
2015-06-14 05:26:00,2015-06-14 05:41:00,3000,1250,S12W34,12365,C5.9,2015-06-14 04:12:00,199.0,195,False,
2001-03-27 15:00:00,2001-03-27 15:20:00,4000,1500,N15E14,9393,C5.6,2001-03-27 17:06:00,46.0,66,False,
2000-11-23 08:16:00,2000-11-23 08:35:00,14000,9000,S26W40,9238,C5.4,2000-11-23 06:06:00,,360,True,
2011-05-09 21:00:00,2011-05-10 04:00:00,16000,900,N16E88,-----,C5.4,2011-05-09 20:57:00,55.0,292,False,
2002-09-05 16:55:00,2002-09-07 16:22:00,14000,30,N09E28,10102,C5.2,2002-09-05 16:54:00,,360,True,
2000-01-28 20:20:00,2000-01-28 20:24:00,2200,1100,S31W17,8841,C4.7,2000-01-28 20:12:00,,360,True,
2002-10-13 18:10:00,2002-10-13 18:40:00,14000,4000,S07W54,10150,C4.7,2002-10-13 19:35:00,252.0,141,False,
2013-12-12 03:55:00,2013-12-12 21:30:00,12000,70,S23W46,11912,C4.6,2013-12-12 03:36:00,214.0,276,False,
2002-05-16 01:50:00,2002-05-16 03:30:00,9000,2000,S22E01,9948,C4.5,2002-05-16 00:50:00,,360,True,
2002-10-14 14:35:00,2002-10-14 16:50:00,14000,1200,NE90b,-----,C4.5,2002-10-14 14:54:00,,360,True,
2010-08-18 06:05:00,2010-08-18 07:45:00,13000,700,N18W88,11099,C4.5,2010-08-18 05:48:00,255.0,184,False,
